
2024/06/10 (00:05:46) | DEBUG: Shared::init() : Initialized.
2024/06/10 (00:05:46) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/07/04 (22:32:05) | ===> btop++ v.1.3.2
2024/07/04 (22:32:05) | INFO: Logger set to DEBUG
2024/07/04 (22:32:05) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/04 (22:32:05) | INFO: Running on /dev/pts/0
2024/07/04 (22:32:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/04 (22:32:05) | DEBUG: Shared::init() : Initialized.
2024/07/04 (22:32:05) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/07/04 (23:06:55) | INFO: Quitting! Runtime: 00:34:50

2024/07/05 (12:59:37) | ===> btop++ v.1.3.2
2024/07/05 (12:59:37) | INFO: Logger set to DEBUG
2024/07/05 (12:59:37) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/05 (12:59:37) | INFO: Running on /dev/pts/1
2024/07/05 (12:59:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/05 (12:59:37) | DEBUG: Shared::init() : Initialized.
2024/07/05 (12:59:37) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/07/05 (13:04:22) | INFO: Quitting! Runtime: 00:04:45

2024/07/06 (00:02:52) | ===> btop++ v.1.3.2
2024/07/06 (00:02:52) | INFO: Logger set to DEBUG
2024/07/06 (00:02:52) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/06 (00:02:52) | INFO: Running on /dev/pts/0
2024/07/06 (00:02:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/06 (00:02:52) | DEBUG: Shared::init() : Initialized.
2024/07/06 (00:02:52) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/07/06 (00:05:22) | DEBUG: Writing new config file
2024/07/06 (00:05:22) | INFO: Quitting! Runtime: 00:02:30

2024/07/15 (20:27:04) | ===> btop++ v.1.3.2
2024/07/15 (20:27:04) | INFO: Logger set to DEBUG
2024/07/15 (20:27:04) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/15 (20:27:04) | INFO: Running on /dev/pts/1
2024/07/15 (20:27:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/15 (20:27:04) | DEBUG: Shared::init() : Initialized.
2024/07/15 (20:27:04) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/07/15 (20:29:05) | INFO: Quitting! Runtime: 00:02:01

2024/07/22 (23:29:08) | ===> btop++ v.1.3.2
2024/07/22 (23:29:08) | INFO: Logger set to DEBUG
2024/07/22 (23:29:08) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/22 (23:29:08) | INFO: Running on /dev/pts/1
2024/07/22 (23:29:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/22 (23:29:08) | DEBUG: Shared::init() : Initialized.
2024/07/22 (23:29:08) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/07/23 (12:23:02) | ===> btop++ v.1.3.2
2024/07/23 (12:23:02) | INFO: Logger set to DEBUG
2024/07/23 (12:23:02) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/23 (12:23:02) | INFO: Running on /dev/pts/0
2024/07/23 (12:23:02) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/23 (12:23:02) | DEBUG: Shared::init() : Initialized.
2024/07/23 (12:23:02) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/07/24 (13:14:04) | ===> btop++ v.1.3.2
2024/07/24 (13:14:04) | INFO: Logger set to DEBUG
2024/07/24 (13:14:04) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/24 (13:14:04) | INFO: Running on /dev/pts/0
2024/07/24 (13:14:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/24 (13:14:04) | DEBUG: Shared::init() : Initialized.
2024/07/24 (13:14:04) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/08/05 (12:18:00) | ===> btop++ v.1.3.2
2024/08/05 (12:18:00) | INFO: Logger set to DEBUG
2024/08/05 (12:18:00) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/05 (12:18:00) | INFO: Running on /dev/pts/0
2024/08/05 (12:18:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/05 (12:18:00) | DEBUG: Shared::init() : Initialized.
2024/08/05 (12:18:00) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/08/10 (12:21:36) | ===> btop++ v.1.3.2
2024/08/10 (12:21:36) | INFO: Logger set to DEBUG
2024/08/10 (12:21:36) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/10 (12:21:36) | INFO: Running on /dev/pts/2
2024/08/10 (12:21:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/10 (12:21:36) | DEBUG: Shared::init() : Initialized.
2024/08/10 (12:21:36) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/08/11 (14:37:11) | ===> btop++ v.1.3.2
2024/08/11 (14:37:11) | INFO: Logger set to DEBUG
2024/08/11 (14:37:11) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/11 (14:37:11) | INFO: Running on /dev/pts/2
2024/08/11 (14:37:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/11 (14:37:11) | DEBUG: Shared::init() : Initialized.
2024/08/11 (14:37:11) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/08/11 (15:56:11) | ===> btop++ v.1.3.2
2024/08/11 (15:56:11) | INFO: Logger set to DEBUG
2024/08/11 (15:56:11) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/11 (15:56:11) | INFO: Running on /dev/pts/3
2024/08/11 (15:56:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/11 (15:56:11) | DEBUG: Shared::init() : Initialized.
2024/08/11 (15:56:11) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/08/22 (12:57:36) | ===> btop++ v.1.3.2
2024/08/22 (12:57:36) | INFO: Logger set to DEBUG
2024/08/22 (12:57:36) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/22 (12:57:36) | INFO: Running on /dev/pts/0
2024/08/22 (12:57:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/22 (12:57:36) | DEBUG: Shared::init() : Initialized.
2024/08/22 (12:57:36) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

